Time (s),Compressor Speed (rpm),Condensor Air Mass Flow (kg/s),Evaporator Air Mass Flow (kg/s),Superheat (°C),Discharge Temperature (°C),Subcooling (°C),Condenser_Pressure (kPa),Evaporator_Pressure (kPa),Compressor_MassFlow (kg/s),EXV_MassFlow (kg/s),Compressor_Power (kW),Total Power (kW),Air Side Cooling Capacity (kW),Ref Side Cooling Capacity (kW)
4.5,3300,2.236,0.6909,3.843804216,51.21451557,1.525271423,2562.673526,1018.519863,0.058255572,0.056410844,2.560461702,2.841941102,9.973102156,9.212535217
4.55,3300,2.236,0.6909,3.92655743,51.21553238,1.527872393,2562.881996,1018.73924,0.058268592,0.05641304,2.560540428,2.842019828,9.954634187,9.215460979
4.6,3300,2.236,0.6909,4.007866475,51.21660851,1.530949334,2563.092466,1018.956168,0.058281468,0.056415538,2.560624596,2.842103996,9.936672639,9.218350816
4.65,3300,2.236,0.6909,4.087711415,51.21774229,1.534459496,2563.304704,1019.170529,0.058294192,0.056418315,2.560713982,2.842193382,9.919205162,9.221201912
4.7,3300,2.236,0.6909,4.166082347,51.21893121,1.5383631,2563.518501,1019.382325,0.058306764,0.056421349,2.560808286,2.842287686,9.902219634,9.224016015
4.75,3300,2.236,0.6909,4.242966037,51.22016919,1.542619958,2563.733451,1019.591496,0.05831918,0.056424612,2.560906919,2.842386319,9.885704165,9.226790836
4.8,3300,2.236,0.6909,4.318352811,51.22145612,1.547193397,2563.94922,1019.797976,0.058331437,0.056428082,2.561009595,2.842488995,9.86964709,9.229525205
4.85,3300,2.236,0.6909,4.392236351,51.22279181,1.552059259,2564.166155,1020.001739,0.058343534,0.056431755,2.561116769,2.842596169,9.854036996,9.232220978
4.9,3300,2.236,0.6909,4.464613567,51.22416569,1.557186474,2564.383994,1020.203024,0.058355513,0.056435608,2.561228098,2.842707498,9.838862989,9.234880766
4.95,3300,2.236,0.6909,4.535487654,51.22556812,1.562535916,2564.601804,1020.401604,0.058367332,0.056439607,2.561342081,2.842821481,9.824114155,9.237498639
5,3300,2.236,0.6909,4.604862003,51.22701398,1.568090712,2564.82,1020.597293,0.058378978,0.056443755,2.561459732,2.842939132,9.809779591,9.240075469
5.05,3300,2.236,0.6909,4.672741085,51.2285003,1.573835929,2565.039007,1020.790134,0.058390456,0.056448054,2.561581483,2.843060883,9.795848783,9.242612853
5.1,3300,2.236,0.6909,4.739131314,51.23002623,1.579749092,2565.258633,1020.980135,0.058401765,0.05645249,2.561707059,2.843186459,9.782311418,9.245109672
5.15,3300,2.236,0.6909,4.804040688,51.23159076,1.585810659,2565.478772,1021.167304,0.058412906,0.056457051,2.561836304,2.843315704,9.769157408,9.247565488
5.2,3300,2.236,0.6909,4.867478719,51.23319274,1.592002884,2565.699336,1021.35166,0.058423879,0.056461726,2.561969071,2.843448471,9.756376878,9.249980125
5.25,3300,2.236,0.6909,4.929456349,51.23483103,1.598309607,2565.920251,1021.533209,0.058434686,0.056466508,2.562105243,2.843584643,9.743960166,9.252353491
5.3,3300,2.236,0.6909,4.989985771,51.23650451,1.604716121,2566.14145,1021.711965,0.058445327,0.056471386,2.562244712,2.843724112,9.731897822,9.254685651
5.35,3300,2.236,0.6909,5.049080323,51.23821211,1.611209054,2566.362875,1021.88794,0.058455803,0.056476355,2.562387363,2.843866763,9.720180609,9.256976746
5.4,3300,2.236,0.6909,5.106754377,51.23991713,1.617736722,2566.581847,1022.061079,0.058466109,0.056481332,2.562529115,2.844008515,9.708799463,9.259214162
5.45,3300,2.236,0.6909,5.163023093,51.24165493,1.624313034,2566.799974,1022.231256,0.05847624,0.05648636,2.562672961,2.844152361,9.697745486,9.261408905
5.5,3300,2.236,0.6909,5.217903127,51.24342296,1.630948868,2567.018599,1022.398568,0.058486201,0.056491473,2.562820484,2.844299884,9.687010074,9.263567884
5.55,3300,2.236,0.6909,5.271412367,51.24520955,1.637624744,2567.236991,1022.563086,0.058495995,0.056496646,2.562970113,2.844449513,9.676584803,9.265686542
5.6,3300,2.236,0.6909,5.323568991,51.24699256,1.644283778,2567.451872,1022.724675,0.058505616,0.05650178,2.563118233,2.844597633,9.666461359,9.267752854
5.65,3300,2.236,0.6909,5.374391489,51.24881513,1.650989781,2567.667941,1022.88344,0.058515068,0.056507007,2.563270847,2.844750247,9.656631748,9.269789345
5.7,3300,2.236,0.6909,5.423899834,51.25066552,1.657724773,2567.884416,1023.039477,0.058524358,0.056512301,2.563426861,2.844906261,9.647088133,9.27179209
5.75,3300,2.236,0.6909,5.472113796,51.25254433,1.664481294,2568.101173,1023.192871,0.058533491,0.056517654,2.563586011,2.845065411,9.637822891,9.273760144
5.8,3300,2.236,0.6909,5.519052894,51.25445135,1.671253285,2568.318142,1023.343696,0.058542472,0.05652306,2.563748124,2.845227524,9.628828568,9.275693383
5.85,3300,2.236,0.6909,5.564736675,51.25638612,1.678035411,2568.535272,1023.492009,0.058551303,0.056528515,2.563913067,2.845392467,9.620097895,9.277591836
5.9,3300,2.236,0.6909,5.609184687,51.25834807,1.684822915,2568.752519,1023.637863,0.058559987,0.056534014,2.56408072,2.84556012,9.611623777,9.279455739
5.95,3300,2.236,0.6909,5.652416519,51.2603365,1.691611536,2568.969845,1023.781304,0.058568528,0.056539556,2.564250983,2.845730383,9.603399297,9.281285434
6,3300,2.236,0.6909,5.694451797,51.26235069,1.698397451,2569.18722,1023.922379,0.058576929,0.056545135,2.564423764,2.845903164,9.595417706,9.283081361
6.05,3300,2.236,0.6909,5.735310172,51.26439009,1.705177213,2569.404618,1024.061095,0.058585189,0.05655075,2.564599015,2.846078415,9.587672426,9.284844538
6.1,3300,2.236,0.6909,5.775011562,51.26645276,1.711946348,2569.621925,1024.197531,0.058593314,0.056556396,2.564776485,2.846255885,9.580157035,9.286574375
6.15,3300,2.236,0.6909,5.813575575,51.26853779,1.718702754,2569.839169,1024.331732,0.058601305,0.056562071,2.564955608,2.846435008,9.572865285,9.288270343
6.2,3300,2.236,0.6909,5.851021802,51.27059012,1.725363425,2570.051142,1024.463492,0.058609152,0.056567626,2.565130583,2.846609983,9.565790949,9.289913245
6.25,3300,2.236,0.6909,5.88736989,51.27269287,1.732049208,2570.266364,1024.593023,0.058616866,0.0565733,2.565311989,2.846791389,9.558928173,9.291541573
6.3,3300,2.236,0.6909,5.922640959,51.27481068,1.738704524,2570.480742,1024.720332,0.058624447,0.056578976,2.56549467,2.84697407,9.552271109,9.293137282
6.35,3300,2.236,0.6909,5.95685485,51.27695274,1.745347309,2570.695577,1024.845525,0.058631903,0.056584691,2.565680164,2.847159564,9.545814155,9.294706367
6.4,3300,2.236,0.6909,5.990031251,51.27911675,1.751972413,2570.910622,1024.96867,0.058639237,0.056590436,2.565868079,2.847347479,9.539551815,9.296247894
6.45,3300,2.236,0.6909,6.022189509,51.28129611,1.758569783,2571.125297,1025.089805,0.058646451,0.056596193,2.566057492,2.847536892,9.533478738,9.297759258
6.5,3300,2.236,0.6909,6.053348588,51.28349845,1.76514591,2571.340122,1025.20898,0.058653549,0.056601975,2.566249195,2.847728595,9.527589708,9.299243825
6.55,3300,2.236,0.6909,6.083527386,51.28572135,1.771699295,2571.555079,1025.326233,0.058660532,0.056607781,2.566443074,2.847922474,9.52187965,9.300701975
6.6,3300,2.236,0.6909,6.112744665,51.28796436,1.778228085,2571.770123,1025.44164,0.058667406,0.056613607,2.566638989,2.848118389,9.516343622,9.30213343
6.65,3300,2.236,0.6909,6.141018719,51.29022702,1.784730807,2571.985231,1025.55524,0.058674172,0.056619452,2.566836867,2.848316267,9.510976801,9.303538435
6.7,3300,2.236,0.6909,6.168367565,51.29250876,1.791206136,2572.200385,1025.667078,0.058680833,0.056625314,2.567036636,2.848516036,9.505774493,9.304917498
6.75,3300,2.236,0.6909,6.194809091,51.29477066,1.797600652,2572.41209,1025.777049,0.058687383,0.056631094,2.567232947,2.848712347,9.500732046,9.306254319
6.8,3300,2.236,0.6909,6.22036098,51.29700939,1.803916103,2572.620514,1025.885064,0.058693817,0.056636799,2.567426724,2.848906124,9.495844944,9.307554053
6.85,3300,2.236,0.6909,6.245041818,51.29928273,1.810217992,2572.830065,1025.991166,0.058700137,0.056642551,2.567624243,2.849103643,9.491108839,9.308839163
6.9,3300,2.236,0.6909,6.268870881,51.301572,1.816495886,2573.040092,1026.095499,0.058706352,0.056648332,2.567824278,2.849303678,9.486519538,9.310105486
6.95,3300,2.236,0.6909,6.291866676,51.3038778,1.822746458,2573.25042,1026.198156,0.058712466,0.056654134,2.568026482,2.849505882,9.482072942,9.311351362
7,3300,2.236,0.6909,6.314046795,51.30619811,1.828965946,2573.460847,1026.299228,0.058718487,0.056659949,2.568230428,2.849709828,9.477765063,9.312575287
7.05,3300,2.236,0.6909,6.335428168,51.30853339,1.835150264,2573.671151,1026.398753,0.058724415,0.056665771,2.568435845,2.849915245,9.473591994,9.313776559
7.1,3300,2.236,0.6909,6.356027323,51.3108853,1.841303717,2573.88167,1026.496788,0.058730255,0.056671607,2.568643104,2.850122504,9.469549951,9.314956865
7.15,3300,2.236,0.6909,6.375860521,51.31325299,1.847424134,2574.092307,1026.593382,0.058736009,0.056677454,2.568852028,2.850331428,9.465635242,9.316115878
7.2,3300,2.236,0.6909,6.39494366,51.31563606,1.853510229,2574.303029,1026.688576,0.05874168,0.05668331,2.569062523,2.850541923,9.461844275,9.317253621
7.25,3300,2.236,0.6909,6.413292323,51.31803405,1.859560872,2574.513807,1026.782406,0.05874727,0.056689173,2.569274513,2.850753913,9.458173551,9.318370252
7.3,3300,2.236,0.6909,6.430921838,51.32044649,1.865575033,2574.724623,1026.874906,0.05875278,0.056695042,2.569487934,2.850967334,9.45461966,9.319465987
7.35,3300,2.236,0.6909,6.447847292,51.32287288,1.871551765,2574.935458,1026.966107,0.058758213,0.056700915,2.569702729,2.851182129,9.451179285,9.320541088
7.4,3300,2.236,0.6909,6.464083554,51.32531147,1.877489071,2575.146226,1027.056034,0.05876357,0.056706789,2.569918725,2.851398125,9.447849194,9.321595443
7.45,3300,2.236,0.6909,6.479645273,51.32774192,1.883362697,2575.355352,1027.144652,0.05876885,0.056712619,2.570133537,2.851612937,9.444626222,9.322622127
7.5,3300,2.236,0.6909,6.494546988,51.33018796,1.889190694,2575.564079,1027.231915,0.058774048,0.056718441,2.570349355,2.851828755,9.441507271,9.323629239
7.55,3300,2.236,0.6909,6.508803539,51.33264542,1.894982857,2575.773099,1027.317937,0.058779173,0.056724273,2.570566863,2.852046263,9.43848938,9.324620057
7.6,3300,2.236,0.6909,6.522429797,51.33511482,1.900736483,2575.982269,1027.402763,0.058784227,0.05673011,2.570785823,2.852265223,9.435569639,9.325593352
7.65,3300,2.236,0.6909,6.535439934,51.33759631,1.906450574,2576.191552,1027.486439,0.058789212,0.05673595,2.57100614,2.85248554,9.43274523,9.326548927
7.7,3300,2.236,0.6909,6.547847716,51.34008978,1.912124381,2576.40093,1027.569002,0.058794131,0.056741792,2.571227746,2.852707146,9.430013407,9.327486826
7.75,3300,2.236,0.6909,6.559666604,51.34259512,1.917757263,2576.610386,1027.650476,0.058798985,0.056747634,2.571450595,2.852929995,9.427371498,9.328406936
7.8,3300,2.236,0.6909,6.570909671,51.345105,1.923339845,2576.819323,1027.73085,0.058803774,0.05675346,2.571673783,2.853153183,9.42481689,9.329307185
7.85,3300,2.236,0.6909,6.581589958,51.3476285,1.928881489,2577.028387,1027.810156,0.058808499,0.056759286,2.571898307,2.853377707,9.422347046,9.330191378
7.9,3300,2.236,0.6909,6.59172051,51.35011949,1.93433759,2577.234629,1027.888402,0.058813161,0.056765031,2.57211937,2.85359877,9.419959472,9.331044442
7.95,3300,2.236,0.6909,6.601313866,51.35259101,1.939698737,2577.437438,1027.965357,0.058817746,0.056770678,2.572336716,2.853816116,9.417651644,9.331866945
8,3300,2.236,0.6909,6.610383093,51.3549838,1.944889823,2577.631822,1028.040704,0.058822235,0.056776087,2.572543712,2.854023112,9.415421042,9.332640627
8.05,3300,2.236,0.6909,6.618942655,51.35740919,1.950072389,2577.82856,1028.114593,0.058826638,0.056781567,2.572755837,2.854235237,9.413265446,9.333420259
